Year,Month_Number,ET,EP,BSS,RF,WS,DT1,WT1,DT2,WT2,MAXT,MINT,RH11,RH22,VP11,CLOUDM,CLOUDE,SOIL1,SOIL2,SOIL3,SOIL4,SOIL5,SOIL6,MinTtest,MaxTtest1,MaxTtest2
1991,3,17.2,198.10000000000005,305.8,0.0,95.40000000000002,579.8,479.8000000000002,1080.5,626.4000000000002,1114.8,512.6,2185,666.0,355.79999999999995,0,0,662.0,779.1999999999999,884.9,1439.3,1075.0999999999997,938.5999999999997,67.19999999999999,40.39999999999999,34.300000000000004
1991,4,6.0,226.1,312.8,0.0,120.40000000000003,722.3,622.1000000000001,1103.2,674.7,1133.5,644.0000000000002,2194,778.1,498.8,0,0,809.7999999999998,896.3,992.6000000000001,1493.4999999999998,1193.1,1036.3000000000002,78.30000000000001,31.9,30.300000000000004
1991,5,2.300000000000001,237.90000000000003,322.99999999999994,0.0,172.20000000000002,857.0999999999999,768.3000000000001,1182.2000000000003,804.8000000000001,1224.9000000000003,792.2000000000003,2435,1113.0,674.0,0,0,980.7,1050.4999999999995,1123.4,1619.9,1318.3000000000002,1174.1000000000001,64.89999999999999,46.099999999999994,42.70000000000001
1991,6,25.200000000000003,266.79999999999995,241.29999999999995,38.2,237.79999999999998,867.9999999999999,764.6,1106.2000000000003,806.4999999999999,1149.0,822.4000000000003,2246,1338.0,670.0,0,0,962.9000000000001,1002.3999999999999,1104.2,1432.1999999999998,1227.6999999999998,1147.1,45.6,30.400000000000006,42.8
1991,7,56.599999999999994,165.10000000000005,110.0,447.4,189.9,829.5000000000001,784.9000000000001,965.9000000000001,818.6000000000001,1006.2999999999998,803.8000000000001,2754,2178.0,721.0,0,0,893.3000000000002,920.9,988.4000000000001,1139.4,1065.2,1029.0,25.7,37.20000000000001,40.4
1991,8,131.10000000000002,124.20000000000002,118.09999999999997,111.50000000000003,170.10000000000002,797.6000000000001,758.7999999999997,945.2999999999998,800.4999999999999,977.8000000000002,775.6999999999999,2784,2104.0,688.0,0,0,837.4,855.0,904.5999999999999,1109.8999999999999,1011.6,958.8000000000002,21.9,34.10000000000001,32.50000000000001
1991,9,227.9000000000001,129.0,234.00000000000003,45.99999999999999,98.30000000000003,753.2999999999998,703.9999999999999,963.9,752.1000000000001,992.6999999999998,715.0000000000001,2597,1659.0,624.0,0,0,820.0999999999999,847.7,913.0,1214.3,1085.7,995.3000000000001,38.3,35.0,28.800000000000008
1991,10,97.89999999999999,153.2,303.9,0.0,61.40000000000001,642.3,565.5999999999999,1091.1000000000001,659.6999999999999,1124.6,562.3000000000001,2406,769.0,446.6,0,0,767.8,859.0000000000002,951.9000000000002,1378.6999999999998,1135.4,1040.3,80.0,34.3,33.50000000000001
1991,11,26.700000000000003,123.20000000000003,268.0,0.0,99.19999999999999,548.6,460.30000000000007,935.4,602.0,959.3,500.5,2166,975.0,343.49999999999994,0,0,635.4000000000001,743.6999999999999,821.4000000000001,1197.2,962.9999999999997,877.7000000000002,48.1,19.400000000000002,23.900000000000006
1991,12,60.8,95.29999999999998,275.30000000000007,0.0,79.00000000000001,388.09999999999997,334.99999999999994,870.6999999999999,545.4000000000001,892.4000000000001,355.5,2490,961.0,271.59999999999997,0,0,482.39999999999986,616.0,710.0,1091.5,860.2,761.0,32.599999999999994,15.4,21.700000000000003
